@relation 'german_credit-weka.filters.unsupervised.attribute.Remove-R2,7-13,15-16,18-20'

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute other_payment_plans {bank,stores,none}
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute class {good,bad}

@data
'no checking','existing paid',radio/tv,2299,500<=X<1000,none,skilled,good
<0,'existing paid','used car',1352,500<=X<1000,none,'unemp/unskilled non res',good
'no checking','critical/other existing credit','new car',7228,<100,none,'unskilled resident',good
'no checking','existing paid',radio/tv,2073,100<=X<500,none,skilled,good
0<=X<200,'delayed previously',furniture/equipment,2333,'no known savings',bank,'unskilled resident',good
0<=X<200,'delayed previously','used car',5965,<100,none,'high qualif/self emp/mgmt',good
'no checking','existing paid',radio/tv,1262,<100,none,skilled,good
'no checking','existing paid','used car',3378,'no known savings',none,skilled,good
0<=X<200,'delayed previously','new car',2225,<100,bank,skilled,bad
'no checking','all paid','new car',783,'no known savings',stores,'unskilled resident',good
0<=X<200,'existing paid',radio/tv,6468,'no known savings',none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',radio/tv,9566,<100,stores,skilled,good
>=200,'existing paid','new car',1961,<100,none,'high qualif/self emp/mgmt',good
<0,'critical/other existing credit',furniture/equipment,6229,<100,none,'unskilled resident',bad
0<=X<200,'existing paid',business,1391,<100,bank,skilled,good
0<=X<200,'critical/other existing credit',radio/tv,1537,'no known savings',none,skilled,good
0<=X<200,'no credits/all paid',business,1953,<100,none,'high qualif/self emp/mgmt',bad
0<=X<200,'no credits/all paid',business,14421,<100,none,skilled,bad
'no checking','existing paid',radio/tv,3181,<100,none,skilled,good
'no checking','existing paid',repairs,5190,'no known savings',none,skilled,good
'no checking','existing paid',radio/tv,2171,<100,bank,skilled,good
0<=X<200,'existing paid','new car',1007,>=1000,none,skilled,good
'no checking','existing paid',education,1819,<100,stores,skilled,bad
'no checking','existing paid',radio/tv,2394,'no known savings',none,skilled,good
'no checking','existing paid','used car',8133,<100,bank,skilled,good
'no checking','critical/other existing credit',radio/tv,730,'no known savings',none,'unskilled resident',good
<0,'critical/other existing credit',other,1164,<100,bank,'high qualif/self emp/mgmt',good
0<=X<200,'critical/other existing credit',business,5954,<100,bank,'unskilled resident',good
<0,'existing paid',education,1977,'no known savings',none,'high qualif/self emp/mgmt',bad
<0,'critical/other existing credit','used car',1526,<100,none,'high qualif/self emp/mgmt',good
<0,'existing paid',radio/tv,3965,<100,none,skilled,bad
0<=X<200,'delayed previously',radio/tv,4771,<100,none,skilled,good
'no checking','no credits/all paid','used car',9436,'no known savings',none,'unskilled resident',good
0<=X<200,'existing paid',furniture/equipment,3832,<100,none,skilled,good
'no checking','existing paid',radio/tv,5943,'no known savings',none,skilled,bad
'no checking','existing paid',radio/tv,1213,500<=X<1000,stores,skilled,good
'no checking','existing paid',business,1568,100<=X<500,none,'unskilled resident',good
<0,'existing paid',other,1755,<100,none,'unskilled resident',good
<0,'existing paid',radio/tv,2315,<100,none,'unskilled resident',good
'no checking','critical/other existing credit',business,1412,<100,none,'high qualif/self emp/mgmt',good
0<=X<200,'critical/other existing credit',furniture/equipment,1295,<100,none,skilled,good
0<=X<200,'existing paid',education,12612,100<=X<500,none,skilled,bad
<0,'existing paid','new car',2249,100<=X<500,none,'high qualif/self emp/mgmt',good
<0,'no credits/all paid',repairs,1108,<100,none,skilled,bad
'no checking','critical/other existing credit',radio/tv,618,<100,none,skilled,good
<0,'critical/other existing credit','used car',1409,<100,none,skilled,good
'no checking','critical/other existing credit',radio/tv,797,'no known savings',bank,'unskilled resident',bad
>=200,'critical/other existing credit',furniture/equipment,3617,'no known savings',none,skilled,good
0<=X<200,'existing paid','new car',1318,>=1000,none,skilled,good
0<=X<200,'no credits/all paid',business,15945,<100,none,skilled,bad
'no checking','critical/other existing credit',education,2012,'no known savings',none,skilled,good
0<=X<200,'existing paid',business,2622,100<=X<500,none,skilled,good
0<=X<200,'critical/other existing credit',radio/tv,2337,<100,none,skilled,good
0<=X<200,'delayed previously','used car',7057,'no known savings',bank,'high qualif/self emp/mgmt',good
'no checking','existing paid','new car',1469,100<=X<500,none,'unskilled resident',good
0<=X<200,'existing paid',radio/tv,2323,<100,none,skilled,good
'no checking','delayed previously',radio/tv,932,<100,none,skilled,good
0<=X<200,'critical/other existing credit',furniture/equipment,1919,<100,none,skilled,good
'no checking','existing paid','used car',2445,'no known savings',none,skilled,good
0<=X<200,'critical/other existing credit',other,11938,<100,none,'high qualif/self emp/mgmt',bad
'no checking','all paid','new car',6458,<100,bank,'high qualif/self emp/mgmt',bad
0<=X<200,'existing paid','new car',6078,<100,none,skilled,good
<0,'existing paid',furniture/equipment,7721,'no known savings',none,skilled,good
0<=X<200,'existing paid',business,1410,500<=X<1000,none,skilled,good
0<=X<200,'delayed previously',business,1449,100<=X<500,bank,skilled,good
>=200,'existing paid',education,392,<100,none,skilled,good
0<=X<200,'existing paid','new car',6260,<100,none,'unskilled resident',good
'no checking','critical/other existing credit','new car',7855,<100,stores,skilled,bad
<0,'existing paid',radio/tv,1680,500<=X<1000,none,skilled,good
'no checking','critical/other existing credit',radio/tv,3578,'no known savings',none,skilled,good
<0,'existing paid',radio/tv,7174,'no known savings',none,'high qualif/self emp/mgmt',bad
<0,'critical/other existing credit',furniture/equipment,2132,'no known savings',none,skilled,good
<0,'critical/other existing credit',furniture/equipment,4281,500<=X<1000,none,skilled,bad
0<=X<200,'critical/other existing credit','new car',2366,500<=X<1000,none,'high qualif/self emp/mgmt',good
<0,'existing paid',radio/tv,1835,<100,none,skilled,bad
'no checking','critical/other existing credit','used car',3868,<100,none,'high qualif/self emp/mgmt',good
'no checking','existing paid',furniture/equipment,1768,<100,none,'unskilled resident',good
>=200,'critical/other existing credit','new car',781,<100,none,skilled,good
0<=X<200,'existing paid',furniture/equipment,1924,'no known savings',none,skilled,bad
<0,'critical/other existing credit','new car',2121,<100,none,skilled,good
<0,'existing paid',radio/tv,701,<100,none,'unskilled resident',good
0<=X<200,'existing paid',repairs,639,<100,none,skilled,bad
0<=X<200,'critical/other existing credit','used car',1860,<100,none,'high qualif/self emp/mgmt',good
<0,'critical/other existing credit','new car',3499,<100,none,skilled,bad
0<=X<200,'existing paid','new car',8487,'no known savings',none,skilled,good
<0,'delayed previously',education,6887,<100,stores,skilled,bad
'no checking','existing paid',furniture/equipment,2708,<100,bank,'unskilled resident',good
'no checking','existing paid',furniture/equipment,1984,<100,bank,skilled,good
'no checking','existing paid',radio/tv,10144,100<=X<500,none,skilled,good
'no checking','critical/other existing credit',radio/tv,1240,'no known savings',none,skilled,good
'no checking','delayed previously','used car',8613,>=1000,none,skilled,good
0<=X<200,'existing paid',radio/tv,766,500<=X<1000,none,'unskilled resident',bad
0<=X<200,'critical/other existing credit',radio/tv,2728,'no known savings',bank,skilled,good
>=200,'existing paid',radio/tv,1881,<100,none,'unskilled resident',good
>=200,'existing paid','new car',709,>=1000,none,'unemp/unskilled non res',good
0<=X<200,'existing paid',radio/tv,4795,<100,none,'high qualif/self emp/mgmt',good
<0,'existing paid',radio/tv,3416,<100,none,'high qualif/self emp/mgmt',good
<0,'existing paid',furniture/equipment,2462,<100,none,skilled,bad
'no checking','critical/other existing credit',furniture/equipment,2288,<100,none,skilled,good
0<=X<200,'all paid',business,3566,100<=X<500,none,skilled,good
<0,'critical/other existing credit','new car',860,<100,none,skilled,good
'no checking','critical/other existing credit','new car',682,100<=X<500,none,skilled,good
<0,'critical/other existing credit',furniture/equipment,5371,<100,none,skilled,good
'no checking','critical/other existing credit',radio/tv,1582,>=1000,none,skilled,good
'no checking','existing paid',radio/tv,1346,100<=X<500,bank,skilled,good
'no checking','existing paid',radio/tv,1924,<100,none,skilled,good
>=200,'existing paid',radio/tv,5848,<100,none,skilled,good
0<=X<200,'critical/other existing credit','used car',7758,>=1000,none,skilled,good
0<=X<200,'delayed previously',business,6967,100<=X<500,none,'high qualif/self emp/mgmt',good
<0,'existing paid',furniture/equipment,1282,<100,none,skilled,bad
<0,'critical/other existing credit',repairs,1288,100<=X<500,none,skilled,good
<0,'all paid',retraining,339,<100,bank,'unskilled resident',good
0<=X<200,'existing paid','new car',3512,100<=X<500,bank,skilled,good
'no checking','critical/other existing credit',radio/tv,1898,'no known savings',none,'unskilled resident',good
'no checking','critical/other existing credit',radio/tv,2872,100<=X<500,none,skilled,good
'no checking','critical/other existing credit','new car',1055,<100,none,skilled,good
'no checking','existing paid','domestic appliance',1262,500<=X<1000,none,skilled,good
0<=X<200,'existing paid','new car',7308,<100,bank,'high qualif/self emp/mgmt',good
'no checking','existing paid','new car',909,500<=X<1000,none,skilled,good
'no checking','existing paid',furniture/equipment,2978,500<=X<1000,none,skilled,good
<0,'existing paid',furniture/equipment,1131,<100,none,skilled,bad
0<=X<200,'existing paid',furniture/equipment,1577,>=1000,none,skilled,good
'no checking','existing paid',furniture/equipment,3972,<100,none,skilled,good
0<=X<200,'critical/other existing credit',business,1935,<100,none,skilled,bad
<0,'no credits/all paid','new car',950,<100,none,skilled,bad
'no checking','existing paid',furniture/equipment,763,<100,none,skilled,good
0<=X<200,'delayed previously',furniture/equipment,2064,<100,none,'high qualif/self emp/mgmt',bad
0<=X<200,'existing paid',radio/tv,1414,<100,none,skilled,good
<0,'delayed previously',education,3414,<100,none,skilled,bad
'no checking','all paid','used car',7485,'no known savings',bank,'high qualif/self emp/mgmt',bad
<0,'existing paid',furniture/equipment,2577,<100,none,skilled,good
<0,'critical/other existing credit',radio/tv,338,500<=X<1000,none,skilled,good
'no checking','existing paid',radio/tv,1963,<100,none,'high qualif/self emp/mgmt',good
<0,'critical/other existing credit','new car',571,<100,none,skilled,good
'no checking','delayed previously',business,9572,<100,none,skilled,bad
0<=X<200,'delayed previously',business,4455,<100,stores,'high qualif/self emp/mgmt',bad
<0,'all paid','new car',1647,'no known savings',none,'unskilled resident',bad
'no checking','critical/other existing credit',furniture/equipment,3777,>=1000,none,skilled,good
0<=X<200,'critical/other existing credit','new car',884,<100,bank,skilled,bad
'no checking','critical/other existing credit',radio/tv,1360,<100,none,skilled,good
0<=X<200,'all paid','used car',5129,<100,bank,'high qualif/self emp/mgmt',bad
0<=X<200,'critical/other existing credit','new car',1175,<100,none,'unemp/unskilled non res',good
<0,'existing paid',radio/tv,674,100<=X<500,none,skilled,bad
0<=X<200,'no credits/all paid',furniture/equipment,3244,<100,bank,skilled,good
'no checking','existing paid',business,4591,>=1000,none,'high qualif/self emp/mgmt',bad
0<=X<200,'no credits/all paid',business,3844,100<=X<500,none,'unskilled resident',bad
0<=X<200,'existing paid',business,3915,<100,none,skilled,bad
'no checking','existing paid',radio/tv,2108,<100,none,skilled,good
0<=X<200,'existing paid',radio/tv,3031,100<=X<500,none,skilled,bad
0<=X<200,'critical/other existing credit',education,1501,<100,none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',radio/tv,1382,<100,none,skilled,good
0<=X<200,'existing paid',furniture/equipment,951,100<=X<500,bank,skilled,bad
0<=X<200,'existing paid','used car',2760,'no known savings',bank,skilled,good
0<=X<200,'delayed previously',furniture/equipment,4297,<100,none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',education,936,500<=X<1000,none,skilled,good
<0,'existing paid','new car',1168,<100,none,'unskilled resident',good
'no checking','delayed previously',business,5117,<100,none,skilled,good
<0,'existing paid',retraining,902,<100,none,skilled,bad
'no checking','critical/other existing credit','new car',1495,<100,none,'unskilled resident',good
<0,'critical/other existing credit','used car',10623,<100,none,'high qualif/self emp/mgmt',good
'no checking','critical/other existing credit',furniture/equipment,1935,<100,none,skilled,good
0<=X<200,'critical/other existing credit','domestic appliance',1424,<100,none,skilled,good
<0,'existing paid',business,6568,<100,stores,'unskilled resident',good
'no checking','existing paid','used car',1413,>=1000,none,skilled,good
'no checking','critical/other existing credit',radio/tv,3074,'no known savings',none,skilled,good
'no checking','existing paid',radio/tv,3835,'no known savings',none,'unskilled resident',good
<0,'no credits/all paid',business,5293,<100,stores,skilled,bad
>=200,'delayed previously',business,1908,<100,none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit',radio/tv,3342,'no known savings',none,skilled,good
0<=X<200,'critical/other existing credit',retraining,932,'no known savings',none,'unskilled resident',good
<0,'no credits/all paid',business,3104,<100,bank,skilled,good
>=200,'existing paid',radio/tv,3913,<100,none,skilled,good
<0,'existing paid',furniture/equipment,3021,<100,none,'unskilled resident',good
'no checking','existing paid','new car',1364,<100,none,skilled,good
0<=X<200,'existing paid',radio/tv,625,<100,bank,'unskilled resident',good
<0,'existing paid',education,1200,'no known savings',bank,skilled,good
'no checking','existing paid',radio/tv,707,<100,bank,skilled,good
'no checking','delayed previously',business,2978,'no known savings',none,skilled,good
'no checking','existing paid','used car',4657,<100,none,skilled,good
'no checking','no credits/all paid',repairs,2613,<100,none,skilled,good
0<=X<200,'existing paid',radio/tv,10961,>=1000,bank,skilled,bad
<0,'existing paid',furniture/equipment,7865,<100,none,'high qualif/self emp/mgmt',bad
'no checking','existing paid',radio/tv,1478,<100,none,skilled,bad
<0,'existing paid',furniture/equipment,3149,<100,bank,skilled,good
>=200,'existing paid',radio/tv,4210,<100,none,skilled,bad
'no checking','existing paid','new car',2507,500<=X<1000,none,'unskilled resident',good
'no checking','existing paid',radio/tv,2141,100<=X<500,none,skilled,good
0<=X<200,'existing paid',radio/tv,866,<100,none,'unskilled resident',good
'no checking','critical/other existing credit',radio/tv,1544,<100,none,'unskilled resident',good
<0,'existing paid',radio/tv,1823,<100,stores,'high qualif/self emp/mgmt',bad
0<=X<200,'existing paid','new car',14555,'no known savings',none,'unemp/unskilled non res',bad
0<=X<200,'existing paid',business,2767,100<=X<500,bank,'unskilled resident',bad
'no checking','critical/other existing credit',radio/tv,1291,<100,none,skilled,good
<0,'existing paid',radio/tv,2522,<100,none,skilled,good
<0,'existing paid','new car',915,'no known savings',bank,skilled,bad
'no checking','existing paid',radio/tv,1595,<100,none,skilled,good
<0,'no credits/all paid','used car',4605,<100,none,skilled,bad
'no checking','critical/other existing credit',business,1185,<100,none,skilled,good
'no checking','all paid',retraining,3447,500<=X<1000,none,'unskilled resident',good
'no checking','existing paid',business,1258,<100,none,skilled,good
'no checking','critical/other existing credit',radio/tv,717,<100,none,skilled,good
'no checking','no credits/all paid','new car',1204,100<=X<500,bank,skilled,good
>=200,'existing paid',furniture/equipment,1925,<100,none,skilled,good
'no checking','existing paid',radio/tv,433,<100,none,skilled,bad
<0,'critical/other existing credit','new car',666,>=1000,none,'unskilled resident',good
>=200,'existing paid',furniture/equipment,2251,<100,none,'unskilled resident',good
0<=X<200,'existing paid','new car',2150,<100,bank,skilled,bad
'no checking','delayed previously',furniture/equipment,4151,100<=X<500,none,skilled,good
0<=X<200,'existing paid',furniture/equipment,2030,'no known savings',none,skilled,good
0<=X<200,'delayed previously',radio/tv,7418,'no known savings',none,'unskilled resident',good
'no checking','critical/other existing credit',radio/tv,2684,<100,none,'unskilled resident',good
<0,'all paid',radio/tv,2149,<100,none,skilled,bad
'no checking','existing paid','used car',3812,100<=X<500,none,skilled,good
'no checking','critical/other existing credit',radio/tv,1154,100<=X<500,none,'unskilled resident',good
<0,'existing paid',furniture/equipment,1657,<100,none,skilled,good
<0,'existing paid',radio/tv,1603,<100,none,skilled,good
<0,'critical/other existing credit','new car',5302,<100,none,'high qualif/self emp/mgmt',good
'no checking','critical/other existing credit',education,2748,<100,bank,'unskilled resident',good
'no checking','critical/other existing credit','new car',1231,<100,none,'unskilled resident',good
0<=X<200,'existing paid',radio/tv,802,<100,none,skilled,bad
'no checking','critical/other existing credit',business,6304,'no known savings',none,skilled,good
'no checking','existing paid',radio/tv,1533,<100,stores,skilled,good
<0,'existing paid','new car',8978,<100,none,'high qualif/self emp/mgmt',bad
'no checking','existing paid',radio/tv,999,'no known savings',none,skilled,good
'no checking','existing paid','new car',2662,'no known savings',none,skilled,good
'no checking','critical/other existing credit',furniture/equipment,1402,500<=X<1000,none,skilled,good
0<=X<200,'all paid','new car',12169,'no known savings',none,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid',radio/tv,3060,<100,none,skilled,bad
<0,'existing paid',repairs,11998,<100,none,'unskilled resident',bad
'no checking','existing paid',radio/tv,2697,<100,none,skilled,good
'no checking','critical/other existing credit',radio/tv,2404,<100,none,skilled,good
<0,'existing paid',furniture/equipment,1262,'no known savings',none,'unskilled resident',good
'no checking','existing paid',furniture/equipment,4611,<100,none,skilled,bad
'no checking','existing paid',radio/tv,1901,100<=X<500,none,'high qualif/self emp/mgmt',good
'no checking','critical/other existing credit','used car',3368,>=1000,none,skilled,good
'no checking','existing paid',furniture/equipment,1574,<100,none,skilled,good
>=200,'all paid',radio/tv,1445,'no known savings',bank,'unskilled resident',good
'no checking','critical/other existing credit',furniture/equipment,1520,'no known savings',none,skilled,good
0<=X<200,'critical/other existing credit','new car',3878,100<=X<500,none,skilled,good
<0,'existing paid','new car',10722,<100,none,'unskilled resident',good
<0,'existing paid','used car',4788,<100,none,skilled,good
0<=X<200,'delayed previously',other,7582,100<=X<500,none,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid',radio/tv,1092,<100,none,skilled,good
<0,'delayed previously',radio/tv,1024,<100,stores,skilled,bad
'no checking','existing paid',business,1076,<100,none,skilled,good
0<=X<200,'existing paid','used car',9398,<100,none,'high qualif/self emp/mgmt',bad
<0,'critical/other existing credit','used car',6419,<100,none,'high qualif/self emp/mgmt',good
>=200,'critical/other existing credit','used car',4796,<100,none,skilled,good
'no checking','critical/other existing credit',business,7629,'no known savings',bank,'high qualif/self emp/mgmt',good
0<=X<200,'existing paid',furniture/equipment,9960,<100,none,skilled,bad
'no checking','existing paid','used car',4675,'no known savings',none,skilled,good
'no checking','existing paid','new car',1287,'no known savings',none,'unskilled resident',good
'no checking','existing paid',furniture/equipment,2515,<100,none,skilled,good
0<=X<200,'critical/other existing credit',furniture/equipment,2745,>=1000,none,skilled,good
'no checking','existing paid','new car',672,<100,none,'unemp/unskilled non res',good
0<=X<200,'no credits/all paid',radio/tv,3804,<100,none,skilled,bad
>=200,'critical/other existing credit','new car',1344,'no known savings',bank,'unskilled resident',bad
<0,'critical/other existing credit','new car',1038,<100,none,skilled,good
'no checking','critical/other existing credit','new car',10127,500<=X<1000,bank,skilled,bad
'no checking','existing paid',furniture/equipment,1543,>=1000,none,skilled,good
'no checking','existing paid','used car',4811,'no known savings',stores,'unskilled resident',good
<0,'existing paid',radio/tv,727,100<=X<500,none,'unskilled resident',bad
0<=X<200,'existing paid',furniture/equipment,1237,<100,none,skilled,bad
0<=X<200,'existing paid','new car',276,<100,none,'unskilled resident',good
0<=X<200,'existing paid',other,5381,'no known savings',bank,'unemp/unskilled non res',good
'no checking','existing paid',furniture/equipment,5511,100<=X<500,stores,skilled,good
>=200,'existing paid',furniture/equipment,3749,<100,none,skilled,good
0<=X<200,'existing paid','new car',685,<100,bank,'unskilled resident',bad
>=200,'existing paid','new car',1494,'no known savings',none,'unskilled resident',good
<0,'all paid',furniture/equipment,2746,<100,bank,skilled,bad
<0,'existing paid',furniture/equipment,708,<100,none,'unskilled resident',good
0<=X<200,'existing paid',furniture/equipment,4351,'no known savings',none,'unskilled resident',good
'no checking','critical/other existing credit',education,701,<100,none,skilled,good
<0,'delayed previously',furniture/equipment,3643,<100,none,'unskilled resident',good
0<=X<200,'critical/other existing credit','new car',4249,<100,none,'high qualif/self emp/mgmt',bad
<0,'existing paid',radio/tv,1938,<100,none,skilled,bad
<0,'existing paid','used car',2910,<100,none,'high qualif/self emp/mgmt',good
<0,'existing paid',furniture/equipment,2659,>=1000,none,skilled,good
'no checking','critical/other existing credit','new car',1028,<100,none,skilled,good
<0,'critical/other existing credit','new car',3398,<100,none,'unskilled resident',good
'no checking','critical/other existing credit',furniture/equipment,5801,'no known savings',none,skilled,good
'no checking','existing paid','new car',1525,>=1000,none,skilled,good
>=200,'existing paid',radio/tv,4473,<100,none,skilled,good
0<=X<200,'existing paid',radio/tv,1068,<100,none,skilled,good
<0,'critical/other existing credit','used car',6615,<100,none,'high qualif/self emp/mgmt',good
'no checking','critical/other existing credit',education,1864,100<=X<500,none,skilled,bad
0<=X<200,'existing paid','new car',7408,100<=X<500,none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','used car',11590,100<=X<500,bank,'unskilled resident',bad
<0,'no credits/all paid',furniture/equipment,4110,<100,bank,skilled,bad
<0,'critical/other existing credit',furniture/equipment,3384,<100,none,'high qualif/self emp/mgmt',bad
0<=X<200,'existing paid',radio/tv,2101,<100,none,'unskilled resident',good
<0,'existing paid','domestic appliance',1275,'no known savings',none,skilled,bad
<0,'existing paid',furniture/equipment,4169,<100,none,skilled,good
0<=X<200,'existing paid',furniture/equipment,1521,<100,none,'unskilled resident',good
0<=X<200,'critical/other existing credit',education,5743,<100,none,skilled,good
<0,'existing paid',furniture/equipment,3599,<100,none,'unskilled resident',good
0<=X<200,'existing paid',radio/tv,3213,500<=X<1000,none,skilled,good
0<=X<200,'existing paid',business,4439,<100,bank,'high qualif/self emp/mgmt',good
>=200,'existing paid','new car',3949,<100,none,'unskilled resident',good
'no checking','critical/other existing credit',radio/tv,1459,<100,none,'unskilled resident',good
0<=X<200,'critical/other existing credit',radio/tv,882,<100,none,skilled,good
0<=X<200,'existing paid',radio/tv,3758,500<=X<1000,none,'unemp/unskilled non res',good
'no checking','delayed previously',business,1743,100<=X<500,none,'unskilled resident',good
0<=X<200,'critical/other existing credit',education,1136,>=1000,none,skilled,bad
'no checking','existing paid','domestic appliance',1236,<100,none,skilled,good
0<=X<200,'existing paid',furniture/equipment,959,<100,none,skilled,bad
'no checking','critical/other existing credit','used car',3229,'no known savings',none,'high qualif/self emp/mgmt',good
<0,'no credits/all paid',radio/tv,6199,<100,none,skilled,bad
'no checking','existing paid',education,727,500<=X<1000,none,skilled,good
0<=X<200,'existing paid','new car',1246,<100,stores,'unskilled resident',bad
'no checking','critical/other existing credit',radio/tv,2331,'no known savings',none,skilled,good
'no checking','delayed previously',radio/tv,4463,<100,none,'high qualif/self emp/mgmt',bad
'no checking','existing paid',radio/tv,776,<100,none,skilled,good
<0,'existing paid',furniture/equipment,2406,<100,none,skilled,bad
0<=X<200,'existing paid',education,1239,'no known savings',none,skilled,good
>=200,'existing paid',radio/tv,3399,'no known savings',none,'high qualif/self emp/mgmt',good
>=200,'delayed previously','new car',2247,<100,stores,skilled,good
'no checking','existing paid',furniture/equipment,1766,<100,none,skilled,good
<0,'existing paid',furniture/equipment,2473,<100,none,'unemp/unskilled non res',bad
'no checking','existing paid',business,1542,<100,none,skilled,good
'no checking','critical/other existing credit','used car',3850,<100,none,skilled,good
<0,'existing paid',furniture/equipment,3650,<100,none,skilled,good
<0,'existing paid',furniture/equipment,3446,<100,none,skilled,bad
0<=X<200,'existing paid',furniture/equipment,3001,<100,none,skilled,good
'no checking','existing paid','new car',3079,'no known savings',none,skilled,good
'no checking','critical/other existing credit',radio/tv,6070,<100,none,skilled,good
'no checking','critical/other existing credit',furniture/equipment,2146,<100,none,skilled,good
'no checking','critical/other existing credit','new car',13756,'no known savings',bank,'high qualif/self emp/mgmt',good
0<=X<200,'all paid',other,14782,100<=X<500,bank,'high qualif/self emp/mgmt',bad
<0,'all paid',business,7685,<100,none,skilled,bad
'no checking','delayed previously',radio/tv,2320,<100,none,skilled,good
'no checking','delayed previously',radio/tv,846,'no known savings',none,skilled,good
0<=X<200,'existing paid','new car',14318,<100,none,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','new car',362,100<=X<500,none,'unskilled resident',good
